Hello!,¡Hola!,
Your Language,Idioma,
Your Country,País,
Your Name,Tu nombre,
Select Your Region,Selecciona tu región,
Time Zone,Zona horaria,
Time Zones,Zonas horarias,
Complete Setup,Finalizar configuración,
Email Address (Will be your login ID),Email (será tu usuario para entrar al área personal),
Attach Your Picture,Elige tu avatar,
The First User: You,Primer usuario: el tuyo,
Setup Complete,Configuración finalizada.,
Invalid Home Page,Home no válida,
You have unseen {0},{0} no vistos,
No changes in document,Ningún cambio que guardar,
Reporte,Informes,
Meta Description,Meta: descripción,
"browse,","selecciona,",
or attach a,o adjunta un,
Go Back,Volver,
Great Job,Buen trabajo,
Looks Great,Perfecto,
Enable Onboarding,"Habilitar la opción de \"Onboarding\"",
You may continue with onboarding,Puedes continuar con la introducción,

----------------,-----------------
